frame,1.012,0.468,0.9996522931429989,-0.026368405601092576,识别二维码，第一个关键点有框
frame,0.266,1.789,0.4027295035008658,0.915319041105311,拣货区出口
frame,0.52,2.219,-0.22188210759311236,0.9750734999629711,第一个识别面朝右
frame,0.126,2.962,0.9976679311379535,0.06825466415502741,第二个识别面朝正
frame,1.764,2.978,0.059364844353577105,0.998236352401011,第三个识别点面朝正
frame,1.026,2.975,0.021859607365528107,0.9997610502344172,仿真区域，第二个关键点有框
frame,2.998,4.284,0.7172591323403816,0.6968065277208035,第一个路灯
frame,3.942,4.285,0.6936146849627584,0.7203462145413227,第二个路灯
frame,4.509,3.204,0.7854952243985935,-0.6188677180520916,第二个路口
frame,3.625,-0.449,0.6944565943594457,-0.7195345985779141,可能是第二个终点

